Sequence;Condition;Model;Run;APE RMSE;RPE RMSE;RPE RMSE - 1m;RPE RMSE - 10m;Loss of Tracking;Tracking rate in %;Total Frames;Tracked Frames;
city_loop_3_train;Overcast;ORB-SLAM3 Stereo;1;11.243666;0.055004;0.248458;1.550213;0;100;7704;7704;
city_loop_3_train;Overcast;ORB-SLAM3 Stereo;2;11.097244;0.058737;0.255029;1.618663;0;100;7704;7704;
city_loop_3_train;Overcast;ORB-SLAM3 Stereo;3;23.787033;0.090288;1.010706;7.470870;0;100;7704;7704;
city_loop_2_train;Reflections;ORB-SLAM3 Stereo;1;3.477622;0.055576;0.194559;0.942340;0;100;5694;5694;
city_loop_2_train;Reflections;ORB-SLAM3 Stereo;2;7.784495;0.070301;0.308262;2.405919;0;100;5694;5694;
city_loop_2_train;Reflections;ORB-SLAM3 Stereo;3;6.349240;0.065052;0.271555;2.023611;0;100;5694;5694;
city_loop_1_train;Light rain;ORB-SLAM3 Stereo;1;2.689179;0.091013;0.121796;0.335591;2;64.79935978;8747;5668;
city_loop_1_train;Light rain;ORB-SLAM3 Stereo;2;17.933543;0.139200;1.833804;2.668337;1;65.40528181;8747;5721;
city_loop_1_train;Light rain;ORB-SLAM3 Stereo;3;2.806837;0.091211;0.114340;0.341335;1;65.31382188;8747;5713;
office_loop_3_train;Overcast;ORB-SLAM3 Stereo;1;3.689640;0.078511;0.085931;0.264440;0;100;6344;6344;
office_loop_3_train;Overcast;ORB-SLAM3 Stereo;2;5.176183;0.078006;0.087364;0.266131;0;100;6344;6344;
office_loop_3_train;Overcast;ORB-SLAM3 Stereo;3;3.745685;0.078841;0.085064;0.273935;0;100;6344;6344;
office_loop_1_train;Sun Flares;ORB-SLAM3 Stereo;1;1.606358;0.040087;0.050860;0.148789;0;100;8035;8035;
office_loop_1_train;Sun Flares;ORB-SLAM3 Stereo;2;2.887629;0.043351;0.127644;0.422074;0;100;8035;8035;
office_loop_1_train;Sun Flares;ORB-SLAM3 Stereo;3;2.214862;0.040310;0.054319;0.158361;0;100;8035;8035;
office_loop_4_train;Harsh Shadows;ORB-SLAM3 Stereo;1;5.316203;0.047932;0.070637;0.295652;0;100;6805;6805;
office_loop_4_train;Harsh Shadows;ORB-SLAM3 Stereo;2;5.687336;0.047309;0.071960;0.272660;0;100;6805;6805;
office_loop_4_train;Harsh Shadows;ORB-SLAM3 Stereo;3;4.665842;0.046018;0.064297;0.296636;0;100;6805;6805;
office_loop_5_train;Snow and wet street;ORB-SLAM3 Stereo;1;2.464892;0.037722;0.041358;0.165091;0;100;6591;6591;
office_loop_5_train;Snow and wet street;ORB-SLAM3 Stereo;2;1.813450;0.037245;0.042263;0.159766;0;100;6591;6591;
office_loop_5_train;Snow and wet street;ORB-SLAM3 Stereo;3;1.866696;0.038039;0.042287;0.154806;0;100;6591;6591;
neighborhood_1_train;Overcast;ORB-SLAM3 Stereo;1;4.600222;0.022826;0.045672;0.171541;0;100;6697;6697;
neighborhood_1_train;Overcast;ORB-SLAM3 Stereo;2;4.193311;0.025760;0.057880;0.221738;0;100;6697;6697;
neighborhood_1_train;Overcast;ORB-SLAM3 Stereo;3;1.120316;0.024318;0.041066;0.132358;0;100;6697;6697;
neighborhood_3_train;Rain;ORB-SLAM3 Stereo;1;1.782312;0.036774;0.041382;0.142172;0;100;6373;6373;
neighborhood_3_train;Rain;ORB-SLAM3 Stereo;2;1.532504;0.036773;0.042940;0.146982;0;100;6373;6373;
neighborhood_3_train;Rain;ORB-SLAM3 Stereo;3;1.432979;0.037165;0.041341;0.144615;0;100;6373;6373;
neighborhood_5_train;Harsh Shadows;ORB-SLAM3 Stereo;1;1.969472;0.023785;0.032890;0.149089;0;100;6959;6959;
neighborhood_5_train;Harsh Shadows;ORB-SLAM3 Stereo;2;1.648798;0.024356;0.037081;0.146588;0;100;6959;6959;
neighborhood_5_train;Harsh Shadows;ORB-SLAM3 Stereo;3;1.973072;0.023757;0.033993;0.149274;0;100;6959;6959;
neighborhood_6_train;Low contrast;ORB-SLAM3 Stereo;1;1.049719;0.038584;0.051765;0.185110;0;100;7187;7187;
neighborhood_6_train;Low contrast;ORB-SLAM3 Stereo;2;1.465439;0.038865;0.049983;0.193649;0;100;7187;7187;
neighborhood_6_train;Low contrast;ORB-SLAM3 Stereo;3;1.172896;0.038992;0.053474;0.187280;0;100;7187;7187;
FoMo_2025_05_28;Sun;ORB-SLAM3 Stereo;1;0.977506;0.226928;1.578776;14.599838;1;51.22569738;4732;2424;
FoMo_2025_05_28;Sun;ORB-SLAM3 Stereo;2;2.986394;0.225673;1.660346;15.050619;4;46.00591716;4732;2177;
FoMo_2025_05_28;Sun;ORB-SLAM3 Stereo;3;0.391546;0.176755;1.429842;13.729392;4;45.05494505;4732;2132;
FoMo_2024_11_21;Overcast;ORB-SLAM3 Stereo;1;0.063896;1.891990;4.716596;18.954679;1;2.553340329;5718;146;
FoMo_2024_11_21;Overcast;ORB-SLAM3 Stereo;2;0.189961;2.895468;7.414583;24.839086;1;7.135362015;5718;408;
FoMo_2024_11_21;Overcast;ORB-SLAM3 Stereo;3;0.103503;1.718923;4.781342;15.837533;1;2.395942637;5718;137;
FoMo_2025_03_10;Snow;ORB-SLAM3 Stereo;1;0.349281;0.038069;1.614072;15.504656;1;0.392857143;5600;22;
FoMo_2025_03_10;Snow;ORB-SLAM3 Stereo;2;1.454933;0.078428;1.577321;14.485822;1;1.089285714;5600;61;
FoMo_2025_03_10;Snow;ORB-SLAM3 Stereo;3;1.763211;0.917814;8.224019;27.085373;2;10.35714286;5600;580;
city_loop_3_train;Overcast;ORB-SLAM3 Stereo/Inertial;1;2.688832;0.399237;1.611486;13.759270;0;91.09553479;7704;7018;
city_loop_3_train;Overcast;ORB-SLAM3 Stereo/Inertial;2;2.572277;0.399230;1.608032;13.754041;0;91.09553479;7704;7018;
city_loop_3_train;Overcast;ORB-SLAM3 Stereo/Inertial;3;3.224743;0.399281;1.610217;13.762662;0;91.09553479;7704;7018;
city_loop_2_train;Reflections;ORB-SLAM3 Stereo/Inertial;1;1.470680;0.466736;1.698530;13.739619;0;99.84193888;5694;5685;
city_loop_2_train;Reflections;ORB-SLAM3 Stereo/Inertial;2;1.012748;0.467103;1.690446;13.738967;0;99.84193888;5694;5685;
city_loop_2_train;Reflections;ORB-SLAM3 Stereo/Inertial;3;0.974093;0.472548;1.689449;13.645480;0;99.84193888;5694;5685;
city_loop_1_train;Light rain;ORB-SLAM3 Stereo/Inertial;1;4.075087;0.399500;1.653097;13.730055;0;97.23333714;8747;8505;
city_loop_1_train;Light rain;ORB-SLAM3 Stereo/Inertial;2;5.225155;0.399535;1.646439;13.724884;0;97.23333714;8747;8505;
city_loop_1_train;Light rain;ORB-SLAM3 Stereo/Inertial;3;3.946222;0.399699;1.653026;13.747764;0;97.23333714;8747;8505;
office_loop_3_train;Overcast;ORB-SLAM3 Stereo/Inertial;1;9.006487;0.501269;1.624532;13.794348;0;95.64943253;6344;6068;
office_loop_3_train;Overcast;ORB-SLAM3 Stereo/Inertial;2;8.782481;0.500941;1.630093;13.803101;0;95.64943253;6344;6068;
office_loop_3_train;Overcast;ORB-SLAM3 Stereo/Inertial;3;8.544598;0.500956;1.632915;13.805491;0;95.64943253;6344;6068;
office_loop_1_train;Sun Flares;ORB-SLAM3 Stereo/Inertial;1;3.351202;0.381772;1.523130;13.720664;0;92.1468575;8035;7404;
office_loop_1_train;Sun Flares;ORB-SLAM3 Stereo/Inertial;2;3.101919;0.381720;1.524640;13.711149;0;92.1468575;8035;7404;
office_loop_1_train;Sun Flares;ORB-SLAM3 Stereo/Inertial;3;3.252667;0.381587;1.523385;13.708062;0;92.1468575;8035;7404;
office_loop_4_train;Harsh Shadows;ORB-SLAM3 Stereo/Inertial;1;5.220589;0.438488;1.603290;13.835914;0;98.11903012;6805;6677;
office_loop_4_train;Harsh Shadows;ORB-SLAM3 Stereo/Inertial;2;5.967345;0.438592;1.607778;13.815872;0;98.11903012;6805;6677;
office_loop_4_train;Harsh Shadows;ORB-SLAM3 Stereo/Inertial;3;5.691826;0.438524;1.605599;13.827088;0;98.11903012;6805;6677;
office_loop_5_train;Snow and wet street;ORB-SLAM3 Stereo/Inertial;1;1.262770;0.417186;1.522306;13.745445;0;97.86071916;6591;6450;
office_loop_5_train;Snow and wet street;ORB-SLAM3 Stereo/Inertial;2;1.218079;0.416968;1.533396;13.744398;0;97.86071916;6591;6450;
office_loop_5_train;Snow and wet street;ORB-SLAM3 Stereo/Inertial;3;1.423869;0.416928;1.527223;13.738445;0;97.86071916;6591;6450;
neighborhood_1_train;Overcast;ORB-SLAM3 Stereo/Inertial;1;1.266553;0.302489;1.532313;13.803204;0;97.73032701;6697;6545;
neighborhood_1_train;Overcast;ORB-SLAM3 Stereo/Inertial;2;1.104650;0.302655;1.533556;13.779340;0;97.73032701;6697;6545;
neighborhood_1_train;Overcast;ORB-SLAM3 Stereo/Inertial;3;0.936499;0.304299;1.528856;13.761869;0;97.73032701;6697;6545;
neighborhood_3_train;Rain;ORB-SLAM3 Stereo/Inertial;1;1.588422;0.332384;1.553756;13.829043;0;98.08567394;6373;6251;
neighborhood_3_train;Rain;ORB-SLAM3 Stereo/Inertial;2;2.268883;0.331934;1.554363;13.854990;0;98.08567394;6373;6251;
neighborhood_3_train;Rain;ORB-SLAM3 Stereo/Inertial;3;1.916546;0.332239;1.556200;13.829703;0;98.08567394;6373;6251;
neighborhood_5_train;Harsh Shadows;ORB-SLAM3 Stereo/Inertial;1;2.101411;0.298721;1.522333;13.871970;0;95.90458399;6959;6674;
neighborhood_5_train;Harsh Shadows;ORB-SLAM3 Stereo/Inertial;2;1.985002;0.298727;1.521125;13.858151;0;95.90458399;6959;6674;
neighborhood_5_train;Harsh Shadows;ORB-SLAM3 Stereo/Inertial;3;2.282551;0.298688;1.520743;13.864763;0;95.90458399;6959;6674;
neighborhood_6_train;Low contrast;ORB-SLAM3 Stereo/Inertial;1;2.156639;0.287613;1.513202;13.828730;0;98.16335049;7187;7055;
neighborhood_6_train;Low contrast;ORB-SLAM3 Stereo/Inertial;2;2.690614;0.287664;1.512091;13.823197;0;98.16335049;7187;7055;
neighborhood_6_train;Low contrast;ORB-SLAM3 Stereo/Inertial;3;2.254321;0.287608;1.511501;13.824875;0;98.16335049;7187;7055;
FoMo_2025_05_28;Sun;ORB-SLAM3 Stereo/Inertial;1;2.460997;0.204369;1.533949;14.319050;0;99.95773457;4732;4730;
FoMo_2025_05_28;Sun;ORB-SLAM3 Stereo/Inertial;2;2.236451;0.204448;1.520957;14.229438;0;99.95773457;4732;4730;
FoMo_2025_05_28;Sun;ORB-SLAM3 Stereo/Inertial;3;2.385918;0.204368;1.526854;14.269625;0;99.95773457;4732;4730;
FoMo_2024_11_21;Overcast;ORB-SLAM3 Stereo/Inertial;1;0.926940;0.318228;1.594094;14.150561;0;99.96502274;5718;5716;
FoMo_2024_11_21;Overcast;ORB-SLAM3 Stereo/Inertial;2;0.889662;0.318276;1.594280;14.186564;0;99.96502274;5718;5716;
FoMo_2024_11_21;Overcast;ORB-SLAM3 Stereo/Inertial;3;0.951555;0.318185;1.595475;14.037144;0;99.96502274;5718;5716;
